train loss,val loss,train acc,val acc
0.7169340968385425,0.4460780833242009,0.6829638627391437,0.837378640776699
0.5871914183155874,0.3919324584088279,0.7628302459763134,0.8567961165048543
0.5466653219914314,0.3694521187650926,0.7758882477983602,0.8652912621359222
0.5414257580174018,0.3599754146942236,0.7831764348618282,0.8701456310679611
0.5238435529183734,0.350254678104109,0.7916793197692075,0.8737864077669902
0.5212673706610876,0.34755680673909417,0.8017005769814759,0.8628640776699028
0.5179066149941557,0.33144189106318556,0.799878530215609,0.8749999999999999
0.516580428924743,0.3310073271972462,0.7928940176131188,0.8737864077669902
0.5323174167758167,0.3238719829439538,0.7904646219252961,0.8834951456310679
0.5073270545138293,0.3206339284271291,0.8041299726692985,0.8847087378640776
