train loss,val loss,train acc,val acc
0.7157447859486511,0.518140219079638,0.6811418159732767,0.8094660194174756
0.5860660777622684,0.4405957800381392,0.7637412693592469,0.8240291262135921
0.5677123527522512,0.4383258594615946,0.7771029456422716,0.8276699029126213
0.5507222342339106,0.4311115884592811,0.7795323413300942,0.8300970873786407
0.53858224522224,0.47387446586078813,0.7889462496204069,0.8203883495145631
0.5381297347866363,0.3986075579830744,0.7868205283935622,0.8385922330097086
0.5202949216779952,0.4617388126557892,0.7935013665350744,0.8252427184466019
0.528233184808661,0.4197380510204047,0.7880352262374735,0.8337378640776698
0.5111204196427175,0.3935168989870733,0.8032189492863651,0.8446601941747572
0.5201760730594441,0.4604614388595507,0.7947160643789858,0.8252427184466019
