train loss,val loss,train acc,val acc
0.7535999846375173,0.49926639572509285,0.6689948375341634,0.8276699029126213
0.6123092606586777,0.4992593589048941,0.7424840570907987,0.808252427184466
0.5924036221829295,0.46704122836439355,0.754631035529912,0.8179611650485437
0.5637175767953151,0.4401185941493627,0.7610081992104465,0.8349514563106796
0.5599076797760912,0.40970649881270327,0.774369875493471,0.8543689320388349
0.5561279483997021,0.42597764101132607,0.7737625265715153,0.8543689320388349
0.5614983561713754,0.38766780792220124,0.7704221075007592,0.8628640776699028
0.5690947392140339,0.42347444261162026,0.7698147585788035,0.8422330097087378
0.5360193413453481,0.4382468720952284,0.7828727604008503,0.8325242718446602
0.5392217699188322,0.4016296165877754,0.7843911327057395,0.8592233009708737
