train loss,val loss,train acc,val acc
0.7052094281498075,0.44826517666427834,0.6902520498026117,0.8349514563106796
0.586632574813691,0.4044652027123183,0.752808988764045,0.8470873786407767
0.5409091642443764,0.38704593378363306,0.779836015791072,0.8507281553398057
0.5457825589027949,0.3871232915705847,0.7758882477983602,0.8483009708737863
0.5362020808532539,0.377178872094571,0.7837837837837839,0.8567961165048543
0.5227212101863649,0.3649888412610998,0.7810507136349834,0.8543689320388349
0.5154456353064478,0.35846004013008287,0.7968417856058306,0.8640776699029126
0.5394441533099544,0.3531632489949754,0.7849984816276951,0.8652912621359222
0.5363016433441418,0.3489473722151761,0.7749772244154267,0.8737864077669902
0.5216913139461711,0.3514503905350722,0.8010932280595202,0.8713592233009708
