train loss,val loss,train acc,val acc
0.7166167135264712,0.45755257732370525,0.686000607348922,0.8276699029126213
0.5950165710802539,0.41189964759407693,0.7515942909201336,0.8483009708737863
0.5596627473758775,0.3941768522835472,0.7728515031885819,0.8567961165048543
0.5549290149254601,0.39157657969055826,0.7713331308836927,0.8470873786407767
0.5489905672190293,0.3793410966263234,0.7761919222593381,0.8567961165048543
0.5392517088359516,0.37374961831905307,0.7746735499544489,0.8555825242718446
0.534302692807195,0.3658636366062373,0.7919829942301853,0.858009708737864
0.5436104716155582,0.36344904673186323,0.785302156088673,0.8555825242718446
0.5487292980282567,0.35504499377990234,0.781658062556939,0.8628640776699028
0.5428334291658972,0.35492217247781244,0.783480109322806,0.8689320388349514
