train loss,val loss,train acc,val acc
0.7313243224560726,0.41568532904374944,0.6784087458244762,0.8531553398058251
0.5777233921391892,0.35967769752283696,0.7667780139690252,0.866504854368932
0.5552371317877655,0.3348438625124473,0.7752808988764045,0.8713592233009708
0.5353706054074983,0.3293528937309691,0.7877315517764957,0.8774271844660193
0.5389010068080072,0.3386991034867694,0.7807470391740056,0.8628640776699028
0.5225428491785575,0.31583380735325584,0.7971454600668084,0.8786407766990291
0.5284161403562535,0.30545019372863674,0.7901609474643183,0.8859223300970873
0.5124686621910093,0.3127929212037221,0.8010932280595202,0.8786407766990291
0.5154579445389387,0.30741422473299274,0.7983601579107198,0.8810679611650485
0.5037195124671049,0.28933285957979926,0.799574855754631,0.8932038834951456
