train loss,val loss,train acc,val acc
0.8048118512535617,0.562214157679706,0.6392347403583359,0.7803398058252426
0.6823361823886787,0.49925250082629397,0.7142423322198603,0.8131067961165048
0.6562558273902752,0.47369274497032166,0.7245672638931067,0.8300970873786407
0.6487880034393139,0.45189028804742015,0.7266929851199515,0.8349514563106796
0.6268015197986461,0.4551039209354271,0.7394473124810204,0.8361650485436892
0.6101225139774018,0.42842560362757987,0.7518979653811115,0.8446601941747572
0.6149199644627993,0.4206813538392771,0.7549347099908899,0.8470873786407767
0.6198278853424841,0.41119270901946187,0.7424840570907987,0.8531553398058251
0.6179197469436033,0.42053544987897273,0.7458244761615549,0.8398058252427184
0.6188627321633965,0.40440959288078604,0.7443061038566657,0.8567961165048543
